"B306201 - Mean Travel time (1) by Means of transportation (7) (Workers 16 years and over who did not work at home)"
"Current date: 4/24/2020 1:41:18 AM (Eastern Daylight Time)"
"RESIDENCE","WORKPLACE","Means of Transportation 7","Output","Mean Travel Time",
"New York County, New York","New York County, New York","Total, means of transportation","Estimate","28.1"
"New York County, New York","New York County, New York","Total, means of transportation","Margin of Error","0.2"
"New York County, New York","New York County, New York","Car, truck, or van -- Drove alone","Estimate","30.6"
"New York County, New York","New York County, New York","Car, truck, or van -- Drove alone","Margin of Error","1.2"
"New York County, New York","New York County, New York","Car, truck, or van -- Carpooled","Estimate","33.2"
"New York County, New York","New York County, New York","Car, truck, or van -- Carpooled","Margin of Error","3.3"
"New York County, New York","New York County, New York","Public transportation","Estimate","33.3"
"New York County, New York","New York County, New York","Public transportation","Margin of Error","0.3"
"New York County, New York","New York County, New York","Bicycle or walked","Estimate","16.6"
"New York County, New York","New York County, New York","Bicycle or walked","Margin of Error","0.3"
"New York County, New York","New York County, New York","Taxicab, motorcycle or other method","Estimate","22.5"
"New York County, New York","New York County, New York","Taxicab, motorcycle or other method","Margin of Error","0.9"
"New York County, New York","New York County, New York","Worked at home","Estimate","0"
"New York County, New York","New York County, New York","Worked at home","Margin of Error","0"
"New York County, New York","Queens County, New York","Total, means of transportation","Estimate","49"
"New York County, New York","Queens County, New York","Total, means of transportation","Margin of Error","1.8"
"New York County, New York","Queens County, New York","Car, truck, or van -- Drove alone","Estimate","38.7"
"New York County, New York","Queens County, New York","Car, truck, or van -- Drove alone","Margin of Error","2.8"
"New York County, New York","Queens County, New York","Car, truck, or van -- Carpooled","Estimate","46.1"
"New York County, New York","Queens County, New York","Car, truck, or van -- Carpooled","Margin of Error","11.4"
"New York County, New York","Queens County, New York","Public transportation","Estimate","51.7"
"New York County, New York","Queens County, New York","Public transportation","Margin of Error","1.9"
"New York County, New York","Queens County, New York","Bicycle or walked","Estimate","28.4"
"New York County, New York","Queens County, New York","Bicycle or walked","Margin of Error","7.2"
"New York County, New York","Queens County, New York","Taxicab, motorcycle or other method","Estimate","46.6"
"New York County, New York","Queens County, New York","Taxicab, motorcycle or other method","Margin of Error","19.6"
"New York County, New York","Queens County, New York","Worked at home","Estimate","0"
"New York County, New York","Queens County, New York","Worked at home","Margin of Error","0"
"New York County, New York","Richmond County, New York","Total, means of transportation","Estimate","53.2"
"New York County, New York","Richmond County, New York","Total, means of transportation","Margin of Error","6.2"
"New York County, New York","Richmond County, New York","Car, truck, or van -- Drove alone","Estimate","38.4"
"New York County, New York","Richmond County, New York","Car, truck, or van -- Drove alone","Margin of Error","4.2"
"New York County, New York","Richmond County, New York","Car, truck, or van -- Carpooled","Estimate","76.6"
"New York County, New York","Richmond County, New York","Car, truck, or van -- Carpooled","Margin of Error","35.1"
"New York County, New York","Richmond County, New York","Public transportation","Estimate","58.1"
